Name,Code_M2,Code_M1,Label
Numeric,M2FAMNUM,M2FAMNUM,MIDUS 2 family number
Code,SAMPLMAJ,SAMPLMAJ,Major sample identification
Code,B1PRSEX,A1PRSEX,Respondent's sex
Code,B1PA1,A1PA4,Physical health self-evaluated
Code,B1PA2,A1PA5,Mental/emotional health self-evaluated
Code,B1PA3,A1PA6,Health compared to others your age
Numeric,B1PA4,A1PA7,Days unable to work because of health (30 days)
Code,B1PA4A,A1PA7A,"Reason unable to work (physical, mental, combination)"
Numeric,B1PA5,A1PA8,Days cut back work because of health (30 days)
Code,B1PA5A,A1PA8A,"Reason cut back on work (physical, mental, combination)"
Code,B1PA11,A1PA15,How much worry about your heart
Code,B1PDEPDX,A1PDEPDX,Depressed Affect + Anhedonia (binary)
Code,B1PA83,A1PA80,"Worry more, less, about same as others"
Code,B1PA83A,A1PA80A,"Worry a lot, somewhat, little more"
Code,B1PA84,A1PA81,Frequency of worrying (12 months)
Code,B1PA84A,A1PA81A,How long worry lasts on days you worry
Code,B1PA88A,A1PA85A,Restless because of worry (12 months)
Code,B1PA88B,A1PA85B,Keyed up/on edge/nervous energy (12 months)
Code,B1PB2,A1PB2,Age first worked for pay for 6 or more months
Code,B1PB3A,A1PB3A,Current employment - Working
Code,B1PB3B,A1PB3B,Current employment - Self-employed
Code,B1PB3C,A1PB3C,Current employment - Unemployed
Code,B1PB3D,A1PB3D,Current employment - Temporarily laid off
Code,B1PB3E,A1PB3E,Current employment - Retired
Code,B1PB3F,A1PB3F,Current employment - Homemaker
Code,B1PB3G,A1PB3G,Current employment - Full-time student
Code,B1PB3H,A1PB3H,Current employment - Part-time student
Code,B1PB3I,A1PB3I,Current employment - Maternity or sick leave
Code,B1PB3J,A1PB3J,Current employment - Permanently disabled
Code,B1POCCP,A1POCCP,Respondent last occupation
Code,B1PB19,A1PB17,Marital status currently
Code,B1PB34A,A1PB28A,Spouse/partner current employment - Working
Code,B1PB34B,A1PB28B,Spouse/partner current employment - Self-employed
Code,B1PB34C,A1PB28C,Spouse/partner current employment - Unemployed
Code,B1PB34E,A1PB28E,Spouse/partner current employment - Retired
Code,B1PB34F,A1PB28F,Spouse/partner current employment - Homemaker
Code,B1PB34G,A1PB28G,Spouse/partner current employment - Full-time student
Code,B1PB34I,A1PB28I,Spouse/partner current employment - Maternity or sick leave
Code,B1PB34J,A1PB28J,Spouse/partner current employment - Permanently disabled
Code,B1PF6,A1SS5,Important to marry same ethnicity
Code,B1PG1,A1PD1,Satisfied with life at present
Code,B1PG2,A1PD2,Control over life in general at present
Code,B1PG3,A1PD3,Satisfied with self at present
Code,B1PG4,A1PD8,Rate contribution to others (whole life)
Code,B1PG5,A1PD9,"Disappointed by achievement (agree, disagree)"
Code,B1PG7,A1PD5,Worrying describes you
Code,B1PG8,A1PD6,Curious describes you
Code,B1SA1,A1SA1,Rate health current
Code,B1SA4,A1SA4,Rate control over health
Code,B1SA5,A1SA5,Rate thought/effort put into health
Numeric,B1SSATIS,A1SSATIS,Life Satisfaction (5-item version)
Code,B1SA6A,A1SA6A,Compare energy now to 5 years ago
Code,B1SA6B,A1SA6B,Compare fitness now to 5 years ago
Code,B1SA6C,A1SA6C,Compare physique/figure now to 5 years ago
Code,B1SA6D,A1SA6D,Compare weight now to 5 years ago
Code,B1SA8B,A1SA7B,Things I can do to reduce heart attack risk
Code,B1SA8C,A1SA7C,Things I can do to reduce cancer risk
Code,B1SA8D,A1SA7D,I work hard at trying to stay healthy
Code,B1SA8F,A1SA7F,Difficult to get good medical care
Numeric,B1SHLOCS,A1SHLOCS,Health Locus of Control - Self
Code,B1SA9B,A1SA8B,Sudden loud noises really bother me
Code,B1SA10A,A1SA12A,Headaches frequency (30 days)
Code,B1SA10B,A1SA12B,Backaches frequency (30 days)
Code,B1SA10C,A1SA12C,Sweat frequency (30 days)
Code,B1SA10D,A1SA12D,Irritability frequency (30 days)
Code,B1SA10E,A1SA12E,Hot flushes/flashes frequency (30 days)
Code,B1SA10G,A1SA12G,Falling/staying sleep frequency (30 days)
Code,B1SA11C,A1SA9C,Other lung problems ever (12 months)
Code,B1SA11P,A1SA9P,Lupus/autoimmune disorder ever (12 months)
Code,B1SA11T,A1SA9T,Anxiety/depression ever (12 months)
Code,B1SA11U,A1SA9U,Alcohol/drug problem ever (12 months)
Code,B1SA11W,A1SA9W,Chronic sleep problems ever (12 months)
Code,B1SA11X,A1SA9X,Diabetes/high blood sugar ever (12 months)
Code,B1SCHROX,A1SCHROX,Having Any Chronic Conditions (12 months)
Code,B1SA12K,A1SA10K,RX anxiety/depression ever (30 days)
Code,B1SA24A,A1SA13A,Felt so sad nothing could cheer frequency (30 days)
Code,B1SA24B,A1SA13B,Felt nervous frequency (30 days)
Code,B1SA24C,A1SA13C,Felt restless frequency (30 days)
Code,B1SA24D,A1SA13D,Felt hopeless frequency (30 days)
Code,B1SA24E,A1SA13E,Felt everything was effort frequency (30 days)
Code,B1SA24F,A1SA13F,Felt worthless frequency (30 days)
Code,B1SA25,A1SA14,More or less than usual negative feelings (30 days)
Code,B1SA26B,A1SA15B,Felt good spirits frequency (30 days)
Code,B1SA26D,A1SA15D,Felt calm and peaceful frequency (30 days)
Code,B1SA26E,A1SA15E,Felt satisfied frequency (30 days)
Code,B1SA26F,A1SA15F,Felt full of life frequency (30 days)
Code,B1SA56F,A1SA39E,Exercise/movement therapy frequency (12 months)
Code,B1SA56G,A1SA39F,Herbal therapy frequency (12 months)
Code,B1SA56J,A1SA39I,Hypnosis frequency (12 months)
Code,B1SA56L,A1SA39K,Massage therapy frequency (12 months)
Code,B1SA56M,A1SA39L,Prayer/other spiritual frequency (12 months)
Code,B1SA56R,A1SA39O,Spiritual healing by others frequency (12 months)
Code,B1SA62G,A1SA40G,Used marijuana/hashish on own ever (12 months)
Code,B1SA62H,A1SA40H,Used cocaine/crack on own ever (12 months)
Code,B1SA65B,A1SA43B,Emotional problems from substance (12 months)
Code,B1SA65C,A1SA43C,Strong desire for substance (12 months)
Code,B1SA66A,A1SA44B,Emotional problems from drinking (12 months)
Code,B1SA66B,A1SA44C,Desire/urge from drinking (12 months)
Code,B1SE1KK,A1SF1R,Judge self by what I think is important
Numeric,B1SPWBA1,A1SPWBA,Autonomy (Psychological Well-Being 3-item)
Numeric,B1SPWBE1,A1SPWBE,Environmental Mastery (Psychological Well-Being 3-item)
