Name,Label,Codes,Type,Description,Study,Dataset
A1PA14,Number of biological family members had heart attacks,"96, ADOPTED/NOT A BLOOD RELATIVE | 97, DONT KNOW | 98, REFUSED/MISSING | 99, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PA15,How much worry about your heart,"1, A LOT | 2, SOME | 3, A LITTLE | 4, NOT AT ALL | 7, DON'T KNOW | 8, REFUSED | 9, INAPP | -1, RESPONDENT DOES NOT HAVE SAQ DATA",Code,,MIDUS 1 Project 1,M1P1
A1PA4,Physical health self-evaluated,"1, POOR | 2, FAIR | 3, GOOD | 4, VERY GOOD | 5, EXCELLENT | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PA5,Mental/emotional health self-evaluated,"1, POOR | 2, FAIR | 3, GOOD | 4, VERY GOOD | 5, EXCELLENT | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PA6,Health compared to others your age,"1, MUCH BETTER | 2, SOMEWHAT BETTER | 3, ABOUT THE SAME | 4, SOMEWHAT WORSE | 5, MUCH WORSE | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PA7,Days unable to work because of health (30 days),,Numeric,,MIDUS 1 Project 1,M1P1
A1PA7A,"Reason unable to work (physical, mental, combination)","1, PHYSICAL | 2, MENTAL | 3, COMBINATION | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PA7BA,Number of days unable work due to physical health only,,Numeric,,MIDUS 1 Project 1,M1P1
A1PA7BB,Number of days unable work due to mental health only,,Numeric,,MIDUS 1 Project 1,M1P1
A1PA7BC,Number of days unable work due to physical and mental health,,Numeric,,MIDUS 1 Project 1,M1P1
A1PA8,Days cut back work because of health (30 days),,Numeric,,MIDUS 1 Project 1,M1P1
A1PA80,"Worry more, less, about same as others","1, MORE | 2, LESS | 3, ABOUT THE SAME | 6, DONT WORRY AT ALL | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PA80A,"Worry a lot, somewhat, little more","1, A LOT | 2, SOMEWHAT | 3, A LITTLE | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PA81,Frequency of worrying (12 months),"1, EVERY DAY | 2, JUST ABOUT EVERY DAY | 3, MOST DAYS | 4, ABOUT HALF THE DAYS | 5, LESS THAN HALF THE DAYS | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PA81A,How long worry lasts on days you worry,"1, ALL DAY LONG | 2, MOST OF THE DAY | 3, ABOUT HALF THE DAY | 4, LESS THAN HALF THE DAY | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PA85A,Restless because of worry (12 months),"1, MOST DAYS | 2, ABOUT HALF THE DAYS | 3, LESS THAN HALF THE DAYS | 4, NEVER | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PA85B,Keyed up/on edge/nervous energy (12 months),"1, MOST DAYS | 2, ABOUT HALF THE DAYS | 3, LESS THAN HALF THE DAYS | 4, NEVER | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PA8A,"Reason cut back on work (physical, mental, combination)","1, PHYSICAL | 2, MENTAL | 3, COMBINATION | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PA8BA,Number of days cut back due to physical health only,,Numeric,,MIDUS 1 Project 1,M1P1
A1PAGE_M2,Respondent's calculated age at MIDUS 1 Project 1 phone interview,,Numeric,,MIDUS 1 Project 1,M1P1
A1PB17,Marital status currently,"1, MARRIED | 2, SEPERATED | 3, DIVORCED | 4, WIDOWED | 5, NEVER MARRIED | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB2,Age first worked for pay for 6 or more months,"96, NEVER HAD A PAID JOB | 97, DONT KNOW | 98, REFUSED | 99, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB28A,Spouse/partner current employment - Working,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB28B,Spouse/partner current employment - Self-employed,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB28C,Spouse/partner current employment - Unemployed,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB28E,Spouse/partner current employment - Retired,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB28F,Spouse/partner current employment - Homemaker,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
A1PB28G,Spouse/partner current employment - Full-time student,"1, YES | 2, NO | 7, DON'T KNOW | 8, REFUSED | 9, INAPP",Code,,MIDUS 1 Project 1,M1P1
